2022-06-23 08:51:36,223 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): api.binance.com:443
2022-06-23 08:51:37,772 | DEBUG | _make_request() connectionpool.py:456 | https://api.binance.com:443 "GET /api/v3/ping HTTP/1.1" 200 2
2022-06-23 08:51:37,775 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:51:38,755 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:51:38,755 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:51:39,594 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:51:39,594 |  INFO | order_book() Pruebas:413 | Precio: 0.0565, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.55, P abajo: 0.66
2022-06-23 08:51:39,602 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:51:40,437 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:51:40,865 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:51:40,865 |  INFO | order_book() Pruebas:413 | Precio: 0.05652, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.51, P abajo: 0.69
2022-06-23 08:51:40,884 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:51:41,691 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:51:42,154 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:51:42,156 |  INFO | order_book() Pruebas:413 | Precio: 0.05653, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.49, P abajo: 0.71
2022-06-23 08:51:42,159 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:51:43,787 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:51:44,288 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:51:44,288 |  INFO | order_book() Pruebas:413 | Precio: 0.05653, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.49, P abajo: 0.71
2022-06-23 08:51:44,298 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:51:45,116 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:51:46,351 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:51:46,351 |  INFO | order_book() Pruebas:413 | Precio: 0.0565, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.55, P abajo: 0.66
2022-06-23 08:51:46,363 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:51:47,175 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:51:47,608 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:51:47,608 |  INFO | order_book() Pruebas:413 | Precio: 0.0565, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.55, P abajo: 0.66
2022-06-23 08:51:47,625 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:51:48,438 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:51:48,879 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:51:48,879 |  INFO | order_book() Pruebas:413 | Precio: 0.0565, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.55, P abajo: 0.66
2022-06-23 08:51:48,888 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:51:49,722 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:51:50,167 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:51:50,168 |  INFO | order_book() Pruebas:413 | Precio: 0.05647, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.60, P abajo: 0.61
